Estimate,SE,tStat,pValue
38.1455259323217,3.30496681565265,11.5418786511443,7.73954697778326e-23
-0.247349380714658,0.452281705387756,-0.54689229692056,0.585209927815494
-1.08571239005178,0.380017980060724,-2.85700268676311,0.00484152645578246
0.650027068473568,0.452483617466998,1.43657591873142,0.152778884737005
-0.899602268175661,0.64049098431824,-1.40455102445076,0.162081130700285
0.147791303473257,0.348675369796244,0.423865051206864,0.672229993686818
0.648780525321852,0.437735232834595,1.48213001069302,0.14026035956675
0.0415339253577237,0.110258249986115,0.376696758409954,0.706894970646119
-21.9906225481783,6.02587069523667,-3.64936847476024,0.000354819871128564
-5.78636754062516,0.548552499057979,-10.5484298231473,4.17321292511948e-20
0.292306421381176,0.112945133219628,2.58803910402027,0.0105351491187993
-0.76976384002815,0.332811755180699,-2.31291061101555,0.0219931365004006
-0.610604458158579,0.329768470308791,-1.85161564289884,0.0659126171720759
0.618866418269199,0.230578581703275,2.68397183163179,0.00803603978311445
0.168169846143159,0.0857622934614916,1.96088326647502,0.0516179792393922
-0.573465895940696,0.352114522439499,-1.62863460435441,0.105345590277089
-1.53803669317214,0.674840248463435,-2.2791122738665,0.0239740381235219
0.60492169092866,0.232092750317679,2.60637908810452,0.0100092852051225
2.20132173434459,0.795364931436443,2.76768769572096,0.00630732572716635
