Estimate,SE,tStat,pValue
-2.75096691854565,1.03865085201271,-2.64859641063674,0.00888739298175371
0.106294780957297,0.147876964524387,0.718805537422071,0.473302680154895
0.0838395557125811,0.125893032666879,0.665958662974035,0.506390578610111
0.0195315816601505,0.134442256300625,0.1452785916987,0.884672635026077
-0.644907501460492,0.48064241937888,-1.34176151637612,0.181562678366845
0.473398803158039,0.276450863450528,1.71241571557889,0.0887453448222297
-0.0971696024661445,0.1519462882965,-0.63949967817926,0.523406804133583
0.163911563444981,0.0353682700270812,4.63442411289769,7.35234135433695e-06
0.313922570161976,0.245544080189348,1.27847745268344,0.202921059623662
1.38544779909104,0.163955859350788,8.45012678764248,1.64086682298212e-14
-0.0666612689989071,0.040054479843756,-1.66426500254001,0.0980045401648237
-0.218250296477867,0.111406004185549,-1.95905326713241,0.0518338663827749
0.27440523209152,0.121667246888234,2.25537471348878,0.0254570489435153
-0.183683793133263,0.0836422462781957,-2.19606480345264,0.0295173811654363
-0.24695018546879,0.139648547961464,-1.7683691601071,0.0788930440795649
0.468482475252564,0.249243025513853,1.87962120218495,0.0619665384011652
0.202369920849744,0.150468168405061,1.3449350981994,0.180537700672675
-0.0881456975005947,0.0406491431939805,-2.16845154841167,0.0315922606072404
0.523908429215888,0.241017915480818,2.17373230604338,0.0311859661940662
