Row,Estimate,SE,tStat,pValue
(Intercept),30.1453669058415,3.67208784434287,8.20932618817458,6.08430757346461e-14
RMSSD,0.403937936778552,0.0853962984967779,4.73015744111899,4.79088553521372e-06
SDNN,-0.113884986219233,0.0279946036177742,-4.06810497387879,7.32955020923497e-05
pNN50,-0.0636332738154258,0.052875695378182,-1.20345034444091,0.230525890910797
RspAmp,-0.776610515817239,0.923607174347121,-0.840845044719589,0.401651621441673
RspRate,0.274429562385618,0.331527753127201,0.827772516167973,0.408994977688515
MeanPupilDiameter,1.04568283258058,0.442087942973759,2.36532764396755,0.0191758024650395
Taskload,-4.51730165467289,0.943504758752309,-4.78778894623338,3.7276729348523e-06
TrialOrder,0.409349829651863,0.0889942858215934,4.59973161054953,8.38829636130958e-06
SDNN:pNN50,-0.00332012289952551,0.00071494713545028,-4.64387188212799,6.94823846158161e-06
pNN50:RspRate,-0.0258037431874708,0.00517250460664527,-4.98863609600657,1.52988708662817e-06
RspAmp:RspRate,-0.13487879403947,0.0497767676578578,-2.70967361654665,0.00744640597618095
RMSSD:Taskload,-0.0555134234142049,0.020583962463778,-2.69692599332577,0.00772474873848031
RspAmp:Taskload,0.386245290386908,0.257507481224673,1.49993813208833,0.135541427195461
RspRate:Taskload,-0.219862507993229,0.107863497547391,-2.03834024477679,0.0431123306084772
