Row,Estimate,SE,tStat,pValue
(Intercept),137.898252800898,27.263573904647,5.0579668418818,1.21323683120834e-06
HR,-0.304932719512744,0.12590902305987,-2.42184961889306,0.0166268009309678
RMSSD,-0.263121562116467,0.283287872384967,-0.928813365363218,0.354468191908206
SDNN,-0.351934338418728,0.109847703797467,-3.20383882641381,0.00165449404350758
pNN50,-0.262875547281867,0.0900934721220308,-2.91780903865936,0.00406397541592913
RspRate,-3.63738587933734,0.890101185668068,-4.08648582644824,7.08897783943646e-05
MeanPupilDiameter,-13.4665031440566,4.43065652908798,-3.0393922561243,0.00279473739600977
BlinkCount,1.03870619729116,0.458224992604389,2.26680389340512,0.0248221773276487
Age,-4.69849494592772,1.06142538678426,-4.42658994633856,1.82536906520944e-05
Sex_0,-46.6293055037831,17.6428358701065,-2.64295977398908,0.00908522455022898
Taskload,-5.24310470992901,0.904679737859881,-5.79553679662611,3.83838040952942e-08
TrialOrder,0.115963770914012,0.155232307571369,0.747033737552968,0.456204835375679
SDNN:MeanPupilDiameter,0.0531987754448039,0.0198591403865731,2.6788055479366,0.00820755619109848
RspRate:BlinkCount,-0.0309425389426755,0.0084980655467359,-3.64112735686776,0.000372355846776507
RMSSD:Age,0.0270912463850056,0.00901283819178928,3.00585074407369,0.00310234020683912
RspRate:Age,0.187409319407186,0.0353115744226013,5.30730567729185,3.90025240836038e-07
MeanPupilDiameter:Age,0.628595316568784,0.168367891106633,3.73346314690534,0.000267011124783503
BlinkCount:Age,-0.0222582060266577,0.0163155367338172,-1.36423376011426,0.174523870992619
RMSSD:Sex_0,-0.508839721717088,0.139189858630254,-3.65572410752121,0.000353428073399031
pNN50:Sex_0,0.490624688299264,0.146052070888062,3.35924499608971,0.000989555974219749
MeanPupilDiameter:Sex_0,-1.80631602600954,1.02151725420185,-1.7682677591392,0.0790355063013523
BlinkCount:Sex_0,-0.307397050775475,0.130505475535263,-2.35543412653529,0.0197866738427819
Age:Sex_0,2.04124599739263,0.668596864543992,3.05302956929784,0.00267791742097079
RMSSD:Taskload,-0.0487785079273002,0.0192309607185098,-2.53645715579622,0.0122137374775506
RspRate:Taskload,-0.162081091742489,0.0921565167654071,-1.75875887491582,0.0806441656545738
Sex_0:Taskload,2.62438262437808,0.674298760996052,3.89201756874271,0.000148751368557258
HR:TrialOrder,0.0402660650788716,0.0154002227078086,2.61464173881427,0.00983746403326658
RMSSD:TrialOrder,0.00729062063154112,0.00472041946860486,1.5444857559864,0.124563891539603
BlinkCount:TrialOrder,0.00830304251264574,0.00589708614190547,1.4079907114877,0.161189265998017
