Row,Estimate,SE,tStat,pValue
(Intercept),28.4386308904775,3.60232768304914,7.89451526697483,4.70805999967357e-13
HRV_RMSSD,-32.542231267752,14.5462556798911,-2.2371551816416,0.0266842999642363
HRV_SDSD,32.4727978794369,14.4020213479538,2.25473890746944,0.0255324621374515
ID_202,0.630869775212578,1.84465784635362,0.341998260793801,0.73280956609713
ID_203,1.65835249749546,1.80582048275776,0.918337405810627,0.359850914883473
ID_204,-3.13136930726087,1.4923149065091,-2.0983301135723,0.0374769552540332
ID_205,-2.36651600465032,1.70762546810365,-1.3858519030396,0.167757470092876
ID_206,-5.45880620743797,2.25827042740848,-2.41725089306613,0.0167841145089336
ID_207,4.38572367336459,1.74691509988818,2.51055341707523,0.0130666442030528
ID_208,-5.3276537714766,1.59682996677979,-3.33639390687319,0.00105948299105104
ID_209,-1.55997082050159,1.53018757509951,-1.01946378724199,0.309551214457407
ID_210,-9.25946205917343,2.18593057916006,-4.23593601162364,3.86559731810618e-05
ID_211,-1.50036452661021,1.49165216514982,-1.00584074602909,0.316039893003317
ID_212,-6.61195068437835,1.50500408083501,-4.39331080133012,2.04543849030645e-05
ID_213,-1.39395618203743,1.97694178050757,-0.705107351051853,0.481788198049941
ID_214,-0.0385713919514957,2.22969672368012,-0.0172989409464771,0.986220094719129
ID_215,-4.32077091305094,1.55361378340831,-2.78111005398784,0.00608088182175827
HRV_SDNN:MeanPupilDiameter,-0.0200989221011608,0.00668439754245883,-3.00684122592857,0.00307481662167125
RSP_Rate:MeanPupilDiameter,0.0729491598807427,0.0286804042208605,2.54351923769902,0.0119406639007328
HRV_RMSSD:Taskload,-0.0626957349855217,0.02736392565157,-2.29118203958885,0.0232827123441116
RSP_Rate:Taskload,-0.129344130963922,0.0434967947449182,-2.97364740833078,0.00340752549954348
HRV_RMSSD:TrialOrder,4.55740601879553,2.04133790003247,2.2325583719986,0.0269927890263239
HRV_SDSD:TrialOrder,-4.5149068762159,2.02641278479877,-2.22802921008231,0.0272997735427565
